delta_M,D_M,K_ETA,K_P,K_PID_K,pi1_ETA,pi1_P,pi1_PID_K,pi2_ETA,pi2_P,pi2_PID_K,pi3_ETA,pi3_P,pi3_PID_K,bdt_1,bdt_10,bdt_100,bdt_2,bdt_20,bdt_5,bdt_50,randomforest_1,randomforest_10,randomforest_100,randomforest_2,randomforest_20,randomforest_5,randomforest_50,torch_1,torch_10,torch_100,torch_2,torch_20,torch_5,torch_50
142.07751464942066,1837.7424316400898,3.518786668777466,13015.1572265625,-2.4485321044921875,3.425996780395508,13200.2607421875,-26.85369873046875,3.5750038623809814,19601.728515625,-54.908058166503906,3.9131572246551514,48345.21875,-26.597827911376953,0.04283249005675316,-0.07480785995721817,0.060982391238212585,0.07172863185405731,0.03145598620176315,-0.014471609145402908,0.04021836072206497,0.03726885880553628,0.08161812240801361,0.009892649642516287,0.18503360393779764,0.047558005130952055,0.09362669723178184,0.019682452140981428,3.913453474524431e-05,0.0009243952808901668,0.0010254336521029472,0.0005287103704176843,0.0010403903434053063,0.001249752240255475,0.0010134822223335505
149.0327148438339,1845.020019530927,3.9131572246551514,48345.21875,-26.597827911376953,3.425996780395508,13200.2607421875,-26.85369873046875,4.242860794067383,10153.1591796875,-21.69097900390625,3.518786668777466,13015.1572265625,-2.4485321044921875,-0.03019312396645546,-0.08124220371246338,-0.018131034448742867,0.07997270673513412,-0.01948290690779686,-0.029518892988562584,0.05897997319698334,0.03726885880553628,0.08161812240801361,0.009892649642516287,0.18026919071796882,0.047558005130952055,0.0919082422334714,0.019682452140981428,1.711181721475441e-05,0.0007709490018896759,0.0012287439312785864,0.0001557426294311881,0.0010149673325940967,0.0008355180616490543,0.0009352267370559275
142.02050781231355,1893.029907226716,3.3534655570983887,24366.927734375,-17.679771423339844,3.1670126914978027,3912.0419921875,8.330169677734375,3.00187349319458,12115.5966796875,25.26806640625,2.8948888778686523,9710.09765625,-13.685848236083984,0.3810102641582489,0.49021196365356445,0.4827764630317688,0.5720317363739014,0.5000752210617065,0.5953566431999207,0.4686027467250824,0.4069763573627756,0.12132800047245045,0.009892649642516287,0.4111535518487345,0.047558005130952055,0.2462656937670943,0.019682452140981428,0.0022514616139233112,0.0007548083667643368,0.0010197252267971635,0.0016193967312574387,0.0007883523358032107,0.0009470837539993227,0.0007450212142430246
146.90246582002806,1828.5667724611617,3.447636127471924,22064.244140625,4.688495635986328,3.82960844039917,23763.298828125,-10.684967041015625,3.8795783519744873,23521.849609375,-19.869049072265625,3.5479722023010254,20029.853515625,-28.75299072265625,0.07513466477394104,0.10918805748224258,0.10083170235157013,0.11528706550598145,0.08654583990573883,0.014524758793413639,0.026154285296797752,0.03726885880553628,0.08161812240801361,0.009892649642516287,0.25689118238143666,0.047558005130952055,0.14651655094727611,0.019682452140981428,0.01925695315003395,0.0008776217000558972,0.0012334284838289022,0.04048886522650719,0.0009327559382654727,0.001238004071637988,0.0009625778766348958
147.35266113295347,1853.6237792967304,3.5479722023010254,20029.853515625,-28.75299072265625,3.82960844039917,23763.298828125,-10.684967041015625,3.8795783519744873,23521.849609375,-19.869049072265625,3.447636127471924,22064.244140625,4.688495635986328,0.152018740773201,0.14648133516311646,0.1944827437400818,0.11860231310129166,0.12401431798934937,0.032094962894916534,0.1198192685842514,0.03726885880553628,0.08161812240801361,0.009892649642516287,0.23239064746345808,0.047558005130952055,0.14036184819413722,0.019682452140981428,0.006972569040954113,0.0008731151465326548,0.001255978480912745,0.021808970719575882,0.0010664439760148525,0.0012668890412896872,0.0009528846712782979
147.90515136725662,1830.8663330077434,2.6727192401885986,10185.8603515625,-45.08285140991211,3.044307231903076,12317.6689453125,-39.97631072998047,2.700023651123047,13948.3623046875,-43.52847671508789,2.9148130416870117,28573.75390625,22.640769958496094,0.49448075890541077,0.3926675021648407,0.4884347915649414,0.5235548615455627,0.4823567867279053,0.48378634452819824,0.5270783305168152,0.4655591813028918,0.12612939804086598,0.009892649642516287,0.37654895862295146,0.047558005130952055,0.27511479702870134,0.019682452140981428,0.40197280049324036,0.0010030593257397413,0.0012791960034519434,0.05509200319647789,0.0012084748595952988,0.0016921543283388019,0.0011417134664952755
145.2458496091399,1880.6055908203086,3.9205007553100586,7011.9228515625,8.863426208496094,3.462371826171875,9332.2724609375,-19.464324951171875,3.888472080230713,29034.955078125,-24.221832275390625,4.277233123779297,19967.892578125,0.4482574462890625,-0.10963742434978485,-0.06776715070009232,-0.11141378432512283,-0.046219006180763245,-0.07318054139614105,-0.14154307544231415,-0.05874286964535713,0.06637696146043696,0.08161812240801361,0.009892649642516287,0.22223288682776687,0.047558005130952055,0.1153070194071353,0.019682452140981428,2.4540646336390637e-05,0.0005992191145196557,0.0008151407819241285,0.00011542013089638203,0.0007829201058484614,0.0006161527126096189,0.0007621341501362622
144.98339843798476,1842.4838867186852,3.4285519123077393,14302.0244140625,-22.360313415527344,3.5376486778259277,44300.265625,-46.97898864746094,3.18727707862854,13856.8720703125,-23.701263427734375,3.3771073818206787,29076.44140625,113.13468933105469,0.2248549610376358,0.07034095376729965,0.14227190613746643,0.19957639276981354,0.17399916052818298,0.1393587589263916,0.17173737287521362,0.03726885880553628,0.08161812240801361,0.009892649642516287,0.18804110577550343,0.047558005130952055,0.09384484315607172,0.019682452140981428,1.2491304005379789e-05,0.0008171814843080938,0.0010238186223432422,7.815126446075737e-05,0.0009727384895086288,0.0009628806728869677,0.0008785039535723627
145.64074707036798,1867.3662109375,4.157083034515381,11789.6064453125,-9.380470275878906,3.1980295181274414,5852.57275390625,16.87211036682129,3.486114978790283,16946.474609375,-64.274169921875,3.1032752990722656,6919.73681640625,29.458810806274414,-0.20819346606731415,-0.15759263932704926,-0.20653468370437622,-0.24564120173454285,-0.1190442219376564,-0.021050497889518738,-0.0860120877623558,0.38531531826801485,0.08161812240801361,0.009892649642516287,0.21263048027220613,0.047558005130952055,0.0842906520085011,0.019682452140981428,1.244318627868779e-05,0.0008387538837268949,0.0011836771154776216,8.784050442045555e-05,0.0008171515073627234,0.0009136986336670816,0.0010732347145676613
147.81518554689092,1883.051025390609,3.3809192180633545,6223.12255859375,-7.4030914306640625,3.614058256149292,24594.314453125,-15.061683654785156,3.7555878162384033,13626.45703125,-15.32464599609375,3.759953737258911,11098.9384765625,37.77375030517578,0.20046091079711914,0.22451962530612946,0.1846238672733307,0.26457518339157104,0.12148759514093399,0.08100331574678421,0.18122756481170654,0.5043334831408046,0.08161812240801361,0.009892649642516287,0.3254690175060807,0.047558005130952055,0.15361638784186935,0.019682452140981428,0.9674937129020691,0.0007203174754977226,0.0008136080577969551,0.11784843355417252,0.0008872582111507654,0.0010761638404801488,0.0007939900970086455
