DLLK, K, pi
-40.0, 1.00000, 1.00000
-39.9, 1.00000, 0.99945
-39.8, 1.00000, 0.99890
-39.7, 1.00000, 0.99835
-39.6, 0.99999, 0.99781
-39.5, 0.99999, 0.99726
-39.4, 0.99999, 0.99673
-39.3, 0.99999, 0.99618
-39.2, 0.99999, 0.99562
-39.1, 0.99999, 0.99505
-39.0, 0.99999, 0.99449
-38.9, 0.99999, 0.99393
-38.8, 0.99999, 0.99337
-38.7, 0.99999, 0.99281
-38.6, 0.99999, 0.99225
-38.5, 0.99999, 0.99168
-38.4, 0.99999, 0.99111
-38.3, 0.99999, 0.99053
-38.2, 0.99998, 0.98998
-38.1, 0.99998, 0.98939
-38.0, 0.99998, 0.98880
-37.9, 0.99998, 0.98823
-37.8, 0.99998, 0.98765
-37.7, 0.99998, 0.98707
-37.6, 0.99998, 0.98649
-37.5, 0.99998, 0.98590
-37.4, 0.99998, 0.98530
-37.3, 0.99998, 0.98469
-37.2, 0.99998, 0.98410
-37.1, 0.99998, 0.98350
-37.0, 0.99998, 0.98288
-36.9, 0.99998, 0.98228
-36.8, 0.99997, 0.98166
-36.7, 0.99997, 0.98105
-36.6, 0.99997, 0.98043
-36.5, 0.99997, 0.97982
-36.4, 0.99997, 0.97920
-36.3, 0.99997, 0.97858
-36.2, 0.99997, 0.97797
-36.1, 0.99997, 0.97733
-36.0, 0.99997, 0.97670
-35.9, 0.99997, 0.97608
-35.8, 0.99997, 0.97543
-35.7, 0.99997, 0.97479
-35.6, 0.99996, 0.97416
-35.5, 0.99996, 0.97352
-35.4, 0.99996, 0.97286
-35.3, 0.99996, 0.97222
-35.2, 0.99996, 0.97156
-35.1, 0.99996, 0.97092
-35.0, 0.99996, 0.97026
-34.9, 0.99996, 0.96960
-34.8, 0.99996, 0.96894
-34.7, 0.99996, 0.96828
-34.6, 0.99995, 0.96760
-34.5, 0.99995, 0.96693
-34.4, 0.99995, 0.96626
-34.3, 0.99995, 0.96558
-34.2, 0.99995, 0.96492
-34.1, 0.99995, 0.96423
-34.0, 0.99995, 0.96355
-33.9, 0.99995, 0.96287
-33.8, 0.99995, 0.96217
-33.7, 0.99995, 0.96149
-33.6, 0.99995, 0.96077
-33.5, 0.99995, 0.96008
-33.4, 0.99995, 0.95938
-33.3, 0.99995, 0.95867
-33.2, 0.99995, 0.95798
-33.1, 0.99995, 0.95727
-33.0, 0.99994, 0.95655
-32.9, 0.99994, 0.95582
-32.8, 0.99994, 0.95510
-32.7, 0.99994, 0.95438
-32.6, 0.99994, 0.95366
-32.5, 0.99994, 0.95294
-32.4, 0.99994, 0.95222
-32.3, 0.99993, 0.95149
-32.2, 0.99993, 0.95073
-32.1, 0.99993, 0.94999
-32.0, 0.99993, 0.94926
-31.9, 0.99993, 0.94850
-31.8, 0.99993, 0.94774
-31.7, 0.99992, 0.94699
-31.6, 0.99992, 0.94623
-31.5, 0.99992, 0.94547
-31.4, 0.99992, 0.94472
-31.3, 0.99992, 0.94396
-31.2, 0.99992, 0.94319
-31.1, 0.99992, 0.94242
-31.0, 0.99992, 0.94163
-30.9, 0.99991, 0.94083
-30.8, 0.99991, 0.94004
-30.7, 0.99991, 0.93926
-30.6, 0.99991, 0.93849
-30.5, 0.99991, 0.93770
-30.4, 0.99991, 0.93689
-30.3, 0.99991, 0.93610
-30.2, 0.99990, 0.93529
-30.1, 0.99990, 0.93450
-30.0, 0.99990, 0.93369
-29.9, 0.99990, 0.93288
-29.8, 0.99990, 0.93205
-29.7, 0.99990, 0.93124
-29.6, 0.99990, 0.93043
-29.5, 0.99989, 0.92962
-29.4, 0.99989, 0.92877
-29.3, 0.99989, 0.92795
-29.2, 0.99989, 0.92711
-29.1, 0.99989, 0.92628
-29.0, 0.99989, 0.92543
-28.9, 0.99989, 0.92458
-28.8, 0.99989, 0.92372
-28.7, 0.99989, 0.92282
-28.6, 0.99989, 0.92195
-28.5, 0.99988, 0.92106
-28.4, 0.99989, 0.92019
-28.3, 0.99988, 0.91932
-28.2, 0.99988, 0.91843
-28.1, 0.99988, 0.91754
-28.0, 0.99988, 0.91666
-27.9, 0.99988, 0.91576
-27.8, 0.99988, 0.91484
-27.7, 0.99988, 0.91395
-27.6, 0.99987, 0.91304
-27.5, 0.99987, 0.91213
-27.4, 0.99987, 0.91120
-27.3, 0.99987, 0.91026
-27.2, 0.99987, 0.90934
-27.1, 0.99987, 0.90840
-27.0, 0.99987, 0.90749
-26.9, 0.99986, 0.90654
-26.8, 0.99987, 0.90563
-26.7, 0.99986, 0.90470
-26.6, 0.99986, 0.90376
-26.5, 0.99986, 0.90281
-26.4, 0.99986, 0.90183
-26.3, 0.99986, 0.90088
-26.2, 0.99986, 0.89993
-26.1, 0.99985, 0.89895
-26.0, 0.99985, 0.89799
-25.9, 0.99985, 0.89701
-25.8, 0.99985, 0.89601
-25.7, 0.99985, 0.89501
-25.6, 0.99984, 0.89404
-25.5, 0.99984, 0.89303
-25.4, 0.99984, 0.89205
-25.3, 0.99983, 0.89105
-25.2, 0.99983, 0.89004
-25.1, 0.99983, 0.88904
-25.0, 0.99983, 0.88803
-24.9, 0.99982, 0.88701
-24.8, 0.99982, 0.88597
-24.7, 0.99982, 0.88492
-24.6, 0.99982, 0.88388
-24.5, 0.99981, 0.88283
-24.4, 0.99981, 0.88177
-24.3, 0.99981, 0.88071
-24.2, 0.99981, 0.87966
-24.1, 0.99980, 0.87859
-24.0, 0.99980, 0.87751
-23.9, 0.99980, 0.87645
-23.8, 0.99980, 0.87538
-23.7, 0.99979, 0.87430
-23.6, 0.99979, 0.87322
-23.5, 0.99979, 0.87210
-23.4, 0.99979, 0.87098
-23.3, 0.99979, 0.86987
-23.2, 0.99979, 0.86875
-23.1, 0.99979, 0.86762
-23.0, 0.99979, 0.86649
-22.9, 0.99978, 0.86536
-22.8, 0.99978, 0.86423
-22.7, 0.99978, 0.86309
-22.6, 0.99978, 0.86195
-22.5, 0.99977, 0.86079
-22.4, 0.99977, 0.85965
-22.3, 0.99977, 0.85850
-22.2, 0.99976, 0.85732
-22.1, 0.99976, 0.85614
-22.0, 0.99975, 0.85495
-21.9, 0.99975, 0.85377
-21.8, 0.99975, 0.85258
-21.7, 0.99974, 0.85140
-21.6, 0.99974, 0.85021
-21.5, 0.99974, 0.84904
-21.4, 0.99974, 0.84785
-21.3, 0.99974, 0.84663
-21.2, 0.99974, 0.84543
-21.1, 0.99974, 0.84418
-21.0, 0.99974, 0.84291
-20.9, 0.99974, 0.84165
-20.8, 0.99973, 0.84041
-20.7, 0.99972, 0.83913
-20.6, 0.99972, 0.83788
-20.5, 0.99972, 0.83662
-20.4, 0.99972, 0.83536
-20.3, 0.99971, 0.83408
-20.2, 0.99971, 0.83281
-20.1, 0.99970, 0.83151
-20.0, 0.99970, 0.83019
-19.9, 0.99970, 0.82892
-19.8, 0.99969, 0.82760
-19.7, 0.99969, 0.82628
-19.6, 0.99968, 0.82495
-19.5, 0.99967, 0.82362
-19.4, 0.99966, 0.82227
-19.3, 0.99966, 0.82096
-19.2, 0.99965, 0.81961
-19.1, 0.99964, 0.81827
-19.0, 0.99964, 0.81692
-18.9, 0.99964, 0.81553
-18.8, 0.99963, 0.81414
-18.7, 0.99963, 0.81276
-18.6, 0.99962, 0.81136
-18.5, 0.99961, 0.80997
-18.4, 0.99961, 0.80861
-18.3, 0.99960, 0.80720
-18.2, 0.99960, 0.80579
-18.1, 0.99959, 0.80437
-18.0, 0.99959, 0.80294
-17.9, 0.99958, 0.80151
-17.8, 0.99957, 0.80010
-17.7, 0.99957, 0.79861
-17.6, 0.99956, 0.79710
-17.5, 0.99956, 0.79562
-17.4, 0.99955, 0.79414
-17.3, 0.99953, 0.79265
-17.2, 0.99953, 0.79114
-17.1, 0.99952, 0.78966
-17.0, 0.99952, 0.78812
-16.9, 0.99951, 0.78663
-16.8, 0.99951, 0.78510
-16.7, 0.99950, 0.78354
-16.6, 0.99948, 0.78202
-16.5, 0.99948, 0.78052
-16.4, 0.99947, 0.77895
-16.3, 0.99947, 0.77735
-16.2, 0.99945, 0.77577
-16.1, 0.99943, 0.77421
-16.0, 0.99942, 0.77259
-15.9, 0.99941, 0.77098
-15.8, 0.99940, 0.76937
-15.7, 0.99938, 0.76772
-15.6, 0.99937, 0.76610
-15.5, 0.99936, 0.76444
-15.4, 0.99935, 0.76276
-15.3, 0.99935, 0.76110
-15.2, 0.99934, 0.75941
-15.1, 0.99932, 0.75772
-15.0, 0.99930, 0.75602
-14.9, 0.99929, 0.75434
-14.8, 0.99927, 0.75268
-14.7, 0.99926, 0.75091
-14.6, 0.99923, 0.74917
-14.5, 0.99921, 0.74744
-14.4, 0.99918, 0.74572
-14.3, 0.99916, 0.74394
-14.2, 0.99914, 0.74221
-14.1, 0.99912, 0.74048
