,K_TCHI2DOF,K_NHITS,K_NUTHITS,K_MINIP,K_MINIPCHI2,K_CHI2DOF,K_CHI2,K_CHARGE,K_BPVIP,K_BPVIPCHI2,K_INMUON,pis_TCHI2DOF,pis_NHITS,pis_NUTHITS,pis_MINIP,pis_MINIPCHI2,pis_CHI2DOF,pis_CHI2,pis_CHARGE,pis_BPVIP,pis_BPVIPCHI2,pis_INMUON,pi1_TCHI2DOF,pi1_NHITS,pi1_NUTHITS,pi1_MINIP,pi1_MINIPCHI2,pi1_CHI2DOF,pi1_CHI2,pi1_CHARGE,pi1_BPVIP,pi1_BPVIPCHI2,pi1_INMUON,pi2_TCHI2DOF,pi2_NHITS,pi2_NUTHITS,pi2_MINIP,pi2_MINIPCHI2,pi2_CHI2DOF,pi2_CHI2,pi2_CHARGE,pi2_BPVIP,pi2_BPVIPCHI2,pi2_INMUON,pi3_TCHI2DOF,pi3_NHITS,pi3_NUTHITS,pi3_MINIP,pi3_MINIPCHI2,pi3_CHI2DOF,pi3_CHI2,pi3_CHARGE,pi3_BPVIP,pi3_BPVIPCHI2,pi3_INMUON,D_BPVFDCHI2,D_BPVIPCHI2,D_MINIPCHI2,D_CHI2,Dst_BPVFDCHI2,Dst_BPVIPCHI2,Dst_MINIPCHI2,Dst_CHI2
min,0.13663098216056824,12.0,0.0,0.022239936515688896,0.9370993971824646,0.13663098216056824,1.6459369659423828,-1.0,0.022239936515688896,4.222079277038574,0.0,0.13508373498916626,12.0,0.0,2.4787856091279536e-05,3.630966034506855e-07,0.13508373498916626,1.6542871296405792,-1.0,2.4787856091279536e-05,3.630966034506855e-07,0.0,0.16070562601089478,13.0,0.0,0.02350311540067196,0.9353311061859131,0.16070562601089478,2.089173138141632,-1.0,0.02350311540067196,4.197169780731201,0.0,0.11631302535533905,12.0,0.0,0.022922249510884285,1.3420087099075317,0.11631302535533905,1.6459369659423828,-1.0,0.022922249510884285,4.662994384765625,0.0,0.13663098216056824,12.0,0.0,0.023470638319849968,0.9370993971824646,0.13663098216056824,1.6459369659423828,-1.0,0.023470638319849968,3.881152629852295,0.0,5.74372673034668,8.574461389798671e-06,8.574461389798671e-06,0.0015027463668957353,-250496.0,-24838668288.0,-3500398346240.0,5.729979343652505e-14
max,2.9999897480010986,41.0,8.0,68.14391326904297,175588.671875,2.9999897480010986,139.94261169433594,1.0,68.14391326904297,461446.71875,1.0,2.9999969005584717,40.0,8.0,58.59437561035156,196219.890625,2.9999969005584717,136.83206868171692,1.0,58.59437561035156,299815.6875,1.0,2.9999945163726807,40.0,8.0,125.24718475341797,561671.5,2.9999945163726807,128.92746710777283,1.0,125.24718475341797,561671.5,1.0,2.9999983310699463,36.0,8.0,63.22034454345703,349020.59375,2.9999983310699463,128.75621604919434,1.0,63.22034454345703,804515.75,1.0,2.9999988079071045,38.0,8.0,64.90758514404297,139433.984375,2.9999988079071045,126.92988562583923,1.0,64.90758514404297,921458.375,1.0,2510946304.0,306340.0,306340.0,59.99988555908203,19262537728.0,19493027840.0,12296192.0,9.999974250793457
